param N = 13;
param V = 3;

param vehicle_capacity :=
1	3000
2	5000
3	14000
;

param demand :=
1	915
2	924
3	829
4	904
5	893
6	902
7	892
8	938
9	857
10	930
11	870
12	918
13	952
;

param cost:= 
[*,*,1]: 0 		1 		2 		3 		4 		5 		6 		7 		8 		9 		10 		11 		12 		13:=
0	0	1.921333333	1.998066667	2.537733333	2.303333333	1.708066667	3.330066667	2.041866667	1.605533333	1.5038	2.446533333	1.897533333	2.099533333	2.152466667
1	2.713533333	0	2.7782	3.141266667	0.559466667	2.333266667	4.112066667	2.666866667	1.998533333	1.335666667	3.0778	2.537266667	2.669533333	2.934266667
2	2.2814	2.798733333	0	1.377533333	3.180733333	1.248133333	1.7566	1.346066667	0.771733333	1.385933333	0.843066667	1.1716	1.704466667	0.778066667
3	2.3224	3.248333333	1.6216	0	3.630333333	0.786466667	2.812666667	0.877733333	1.400933333	1.947533333	1.033266667	0.758133333	0.366933333	1.623333333
4	3.174266667	0.993333333	3.238933333	3.602	0	2.794	4.5728	3.1276	2.459266667	1.7964	3.538533333	2.998	3.130266667	3.395
5	1.95	2.467333333	1.254733333	0.8396	2.849333333	0	2.5884	0.332133333	0.853666667	1.1968	0.743066667	0.202533333	0.691066667	1.077533333
6	3.4852	4.002533333	1.643066667	2.355666667	4.384533333	2.451933333	0	2.5304	2.1494	2.7636	1.9516	2.3754	2.7224	1.981866667
7	1.850866667	2.3682	0.9226	1.132533333	2.7502	0.568866667	2.256266667	0	0.521533333	1.135733333	1.0312	0.492333333	1.249733333	0.7454
8	1.913933333	1.8704	0.779133333	1.4208	2.2524	0.857133333	2.215	0.955066667	0	0.6142	1.319466667	0.7806	1.538	1.035533333
9	1.9782	1.2564	1.493866667	2.035	1.6384	1.193666667	2.827533333	1.527466667	0.662866667	0	1.942333333	1.3948	1.585133333	1.649733333
10	2.896466667	3.4138	1.139266667	0.978133333	3.7958	0.980133333	1.7794	1.103066667	1.562333333	2.176533333	0	0.990133333	1.344866667	1.3948
11	3.019866667	3.5372	1.1374	0.8468	3.9192	0.776066667	2.319933333	0.899	1.685733333	2.299933333	0.540533333	0	1.192333333	1.5182
12	2.172533333	2.844266667	1.945933333	0.7706	3.226266667	0.7426	3.278133333	1.012933333	1.555066667	1.573733333	1.1124	0.893333333	0	1.758533333
13	2.018333333	2.535666667	1.076733333	1.489133333	2.917666667	0.925466667	2.4106	1.0234	0.6842	1.2984	1.3878	0.848933333	1.606333333	0

[*,*,2]: 0 		1 		2 		3 		4 		5 		6 		7 		8 		9 		10 		11 		12 		13:=
0	0	3.157888889	3.197727778	4.036588889	3.761388889	2.725227778	5.338727778	3.247711111	2.575238889	2.448316667	3.910322222	3.031238889	3.339738889	3.416261111
1	4.424238889	0	4.500183333	5.073327778	0.885177778	3.797661111	6.643894444	4.319794444	3.211322222	2.170194444	4.967816667	4.114661111	4.332238889	4.721077778
2	3.649116667	4.543338889	0	2.166238889	5.146838889	1.958122222	2.78905	2.113394444	1.206088889	2.177605556	1.318144444	1.8403	2.667261111	1.201061111
3	3.727533333	5.253472222	2.5178	0	5.856972222	1.230761111	4.434944444	1.376588889	2.190522222	3.058738889	1.612661111	1.185622222	0.579355556	2.529722222
4	5.144411111	1.557222222	5.220355556	5.7935	0	4.517833333	7.364066667	5.039966667	3.931494444	2.890366667	5.687988889	4.834833333	5.052411111	5.44125
5	3.115833333	4.010055556	1.966338889	1.315966667	4.613555556	0	4.1097	0.520122222	1.331694444	1.877733333	1.168144444	0.314988889	1.085477778	1.672905556
6	5.602433333	6.496655556	2.618144444	3.745194444	7.100155556	3.911438889	0	4.011533333	3.43645	4.407966667	3.121966667	3.793616667	4.3242	3.154377778
7	2.968461111	3.862683333	1.446216667	1.775822222	4.466183333	0.888294444	3.589577778	0	0.811572222	1.783088889	1.621266667	0.770472222	1.967588889	1.152783333
