,key_adr,lat,lng,cluster,c_lat,c_lng
0,Minsk Adeskaya vulitsa 18,53.8727,27.65736,5,53.858985000000004,27.693693333333336
1,Minsk Aeradromnaya vulitsa 11A,53.87303000000001,27.53953,3,53.9035152631579,27.526936842105265
2,Minsk Akhotskaya vulitsa 126,53.88132,27.6679,5,53.858985000000004,27.693693333333336
3,Minsk Batanichnaya vulitsa 5A,53.9042,27.60047,2,53.91772625,27.6044875
4,Minsk Il'yanskaya vulitsa 4,53.93254,27.47333,4,53.91147875,27.448273125
5,Minsk Ivanawskaya vulitsa 36,53.89617,27.58531,2,53.91772625,27.6044875
6,Minsk Kal'varyyskaya vulitsa 3,53.9054,27.53798,3,53.9035152631579,27.526936842105265
7,Minsk Kal'varyyskaya vulitsa 44,53.90787,27.51503,3,53.9035152631579,27.526936842105265
8,Minsk Kazimirawskaya vulitsa 5,53.91618,27.4328,4,53.91147875,27.448273125
9,Minsk Kharkawskaya vulitsa 72,53.89775,27.5062,3,53.9035152631579,27.526936842105265
10,Minsk Lozhynskaya vulitsa 22,53.95202,27.68248,1,53.940287142857144,27.695762857142856
11,Minsk Nalibotskaya vulitsa 36,53.92722,27.43203,4,53.91147875,27.448273125
12,Minsk Slabadskaya vulitsa 131,53.84515,27.45548,0,53.864113076923076,27.461546923076924
13,Minsk praspyekt Lyubimava 26,53.86167,27.45931,0,53.864113076923076,27.461546923076924
14,Minsk praspyekt Masherava 51,53.91152,27.528640000000006,3,53.9035152631579,27.526936842105265
15,Minsk praspyekt Pushkina 3A,53.89678000000001,27.49717,3,53.9035152631579,27.526936842105265
16,Minsk praspyekt Pushkina 75,53.91848,27.496240000000004,3,53.9035152631579,27.526936842105265
17,Minsk praspyekt Pyeramozhtsaw 89,53.93348,27.50366,3,53.9035152631579,27.526936842105265
18,Minsk praspyekt Pyeramozhtsaw 9,53.90934,27.54931,3,53.9035152631579,27.526936842105265
19,Minsk vulitsa 50 hod Pyeramohi 5A,53.94845,27.71903,1,53.940287142857144,27.695762857142856
20,Minsk vulitsa Adzintsova 65,53.90057,27.4413,4,53.91147875,27.448273125
21,Minsk vulitsa Al'shewskaha 57,53.92248000000001,27.49428,3,53.9035152631579,27.526936842105265
22,Minsk vulitsa Alibyehava 13/1,53.87177,27.474,0,53.864113076923076,27.461546923076924
23,Minsk vulitsa Alyesya Bachyly 7,53.84126,27.70243,5,53.858985000000004,27.693693333333336
24,Minsk vulitsa Asanaliyeva 44,53.85023,27.5459,3,53.9035152631579,27.526936842105265
25,Minsk vulitsa Awezava 7,53.83791,27.643320000000006,6,53.85373166666667,27.607900833333336
26,Minsk vulitsa Bahratsiyona 55B,53.90761,27.63248,2,53.91772625,27.6044875
27,Minsk vulitsa Biruzova 11,53.91232,27.51377,3,53.9035152631579,27.526936842105265
28,Minsk vulitsa Burdzyeynaha 11,53.90421,27.4562,4,53.91147875,27.448273125
29,Minsk vulitsa Chkalava 9,53.877280000000006,27.53456,3,53.9035152631579,27.526936842105265
30,Minsk vulitsa Filimonava 13,53.91105,27.63378,2,53.91772625,27.6044875
31,Minsk vulitsa Haladzyeda 7/2,53.83703000000001,27.622840000000004,6,53.85373166666667,27.607900833333336
