countryCode,countryName,state,county,city,street,postalCode,houseNumber,lat,lng
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Mantazhnikaw,220019,2,53.87159,27.41631
BLR,Belarus,Minsk,Minsk,Minsk,проспект Дзержинского,220036,104,53.86182,27.4825
BLR,Belarus,Minsk,Minsk,Minsk,praspyekt Lyubimava,220000,26,53.86167,27.45931
BLR,Belarus,Minsk,Minsk,Minsk,проспект Независимости,220114,74,53.92246,27.60239
BLR,Belarus,Minsk,Minsk,Minsk,praspyekt Pyeramozhtsaw,220035,89,53.93348,27.50366
BLR,Belarus,Minsk,Minsk,Minsk,praspyekt Pyeramozhtsaw,220035,9,53.90934,27.54931
BLR,Belarus,Minsk,Minsk,Minsk,praspyekt Pushkina,220000,3A,53.89678,27.49717
BLR,Belarus,Minsk,Minsk,Minsk,praspyekt Pushkina,220000,75,53.91848,27.49624
BLR,Belarus,Minsk,Minsk,Minsk,проспект Рокоссовского,220094,99,53.86104,27.61378
BLR,Belarus,Minsk,Minsk,Minsk,проспект Рокоссовского,220094,145б,53.856,27.61133
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Rotmistrava,220075,42,53.84405,27.69539
BLR,Belarus,Minsk,Minsk,Minsk,проспект Независимости,220114,48,53.91401,27.58128
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Staravilyenski Trakt,220053,28,53.92802,27.54446
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Staravilyenski Trakt,220053,77,53.931,27.54317
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Alibyehava,220116,13/1,53.87177,27.474
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Asanaliyeva,220024,44,53.85023,27.5459
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Awezava,220000,7,53.83791,27.64332
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Bahratsiyona,220037,55B,53.90761,27.63248
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Alyesya Bachyly,220000,7,53.84126,27.70243
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Biruzova,220073,11,53.91232,27.51377
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Maksima Bahdanovicha,220000,116,53.93513,27.5811
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Maksima Bahdanovicha,220000,134,53.93771,27.58316
BLR,Belarus,Minsk,Minsk,Minsk,Batanichnaya vulitsa,220037,5A,53.9042,27.60047
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Burdzyeynaha,220140,11,53.90421,27.4562
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Vyery Kharuzhay,220000,31,53.92329,27.55586
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Vanyeyeva,220033,4,53.88417,27.61852
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Uladzislava Halubka,220055,2,53.92632,27.44517
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Varanyanskaha,220007,17,53.87782,27.54724
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Hyeroyaw 120-y Dyvizi,220056,21,53.94304,27.71997
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Haladzyeda,220096,7/2,53.83703,27.62284
BLR,Belarus,Minsk,Minsk,Minsk,улица Максима Горецкого,220000,73,53.89161,27.43838
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Yakubava,220000,64,53.86213,27.58766
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Yasyenina,220000,141,53.86471,27.42786
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Yasyenina,220000,76,53.86137,27.4437
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Zhylunovicha,220026,41,53.87,27.62753
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Iosifa Hashkyevicha,220000,3,53.84097,27.56857
BLR,Belarus,Minsk,Minsk,Minsk,Il'yanskaya vulitsa,220062,4,53.93254,27.47333
BLR,Belarus,Minsk,Minsk,Minsk,Kazimirawskaya vulitsa,220063,5,53.91618,27.4328
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Kazintsa,220099,92,53.8472,27.50792
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Kalinowskaha,220086,23,53.94831,27.62232
BLR,Belarus,Minsk,Minsk,Minsk,Kal'varyyskaya vulitsa,220073,44,53.90787,27.51503
BLR,Belarus,Minsk,Minsk,Minsk,Kal'varyyskaya vulitsa,220073,3,53.9054,27.53798
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Kuntsawshchyna,220017,19,53.91167,27.43622
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Lyawkova,220007,9,53.88064,27.55632
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Labanka,220136,22,53.90187,27.4353
BLR,Belarus,Minsk,Minsk,Minsk,Lozhynskaya vulitsa,220125,22,53.95202,27.68248
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Mazurava,220136,24,53.89597,27.42233
BLR,Belarus,Minsk,Minsk,Minsk,улица Маршала Люсика,220078,34,53.87419,27.44236
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Matusyevicha,220104,35G,53.9163,27.45839
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Matusyevicha,220104,79,53.91606,27.43922
BLR,Belarus,Minsk,Minsk,Minsk,praspyekt Masherava,220000,51,53.91152,27.52864
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Myendzyalyeyeva,220037,1,53.90033,27.62307
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Myendzyalyeyeva,220037,23,53.90488,27.613
BLR,Belarus,Minsk,Minsk,Minsk,Nalibotskaya vulitsa,220055,36,53.92722,27.43203
BLR,Belarus,Minsk,Minsk,Minsk,проспект Независимости,220114,168,53.94529,27.68849
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Nyestsyerava,220047,49,53.88316,27.68195
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Nikifarava,220141,2,53.93871,27.68828
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Nikifarava,220141,51,53.94161,27.6983
BLR,Belarus,Minsk,Minsk,Minsk,Adeskaya vulitsa,220021,18,53.8727,27.65736
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Adzintsova,220018,65,53.90057,27.4413
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Al'shewskaha,220073,57,53.92248,27.49428
BLR,Belarus,Minsk,Minsk,Minsk,Akhotskaya vulitsa,220137,126,53.88132,27.6679
BLR,Belarus,Minskaya voblasts',Minski rayon,Sosny,vulitsa Pawlowskaha,,52A,53.83142,27.75713
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Pyatra Hlyebki,220000,120,53.92794,27.48181
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Plyakhanava,220095,38,53.86408,27.61072
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Prytytskaha,220140,110,53.90934,27.44251
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Prytytskaha,220140,29,53.90871,27.48461
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Prushynskikh,220112,2,53.83896,27.58774
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Pulikhava,220000,3,53.8995,27.57506
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Suvyazistaw,220138,6,53.91289,27.67379
BLR,Belarus,Minsk,Minsk,Minsk,Slabadskaya vulitsa,220025,131,53.84515,27.45548
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Soltysa,220070,62,53.89599,27.65084
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Ubarevicha,220096,16,53.84658,27.64276
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Filimonava,220114,13,53.91105,27.63378
BLR,Belarus,Minsk,Minsk,Minsk,Kharkawskaya vulitsa,220073,72,53.89775,27.5062
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Chkalava,220000,9,53.87728,27.53456
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Shpilyewskaha,220000,60,53.84591,27.56004
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Yanki Brylya,220112,22,53.87835,27.48182
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Yakuba Kolasa,220000,36,53.92835,27.59658
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Yakubowskaha,220018,32,53.89715,27.45277
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Yana Chachota,220000,2,53.84907,27.47931
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Yankowskaha,220019,44,53.881,27.45307
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa 50 hod Pyeramohi,220056,5A,53.94845,27.71903
BLR,Belarus,Minsk,Minsk,Minsk,Aeradromnaya vulitsa,220007,11A,53.87303,27.53953
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Maksima Bahdanovicha,220000,89,53.92245,27.56846
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Holubyeva,220116,14B,53.86558,27.47647
BLR,Belarus,Minsk,Minsk,Minsk,Ivanawskaya vulitsa,220088,36,53.89617,27.58531
BLR,Belarus,Minsk,Minsk,Minsk,Kazimirawskaya vulitsa,220063,5,53.91618,27.4328
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Karbyshava,220119,2,53.95547,27.6225
BLR,Belarus,Minsk,Minsk,Minsk,vulitsa Prytytskaha,220140,6,53.91006,27.50248
